L,a,b
0.394675,-0.061577,0.077767
0.659274,-0.141875,0.079024
0.570585,-0.020236,-0.013203
0.418165,0.138790,0.002385
0.573169,-0.095180,0.065234
0.882188,-0.156989,0.070601
0.367792,-0.047530,0.070652
0.612763,-0.118121,0.060639
0.576699,-0.022582,-0.014230
0.456666,0.122069,0.028336
0.514418,-0.062495,0.033672
0.870276,-0.156711,0.074916
0.355739,-0.034169,0.067461
0.613343,-0.123040,0.056104
0.589533,-0.046571,-0.004837
0.447675,0.132489,-0.001911
0.534657,-0.084605,0.041842
0.868199,-0.143692,0.061457
0.319490,-0.031744,0.042643
0.618594,-0.132209,0.062109
0.585328,-0.052569,0.019273
0.454674,0.134963,-0.005840
0.537368,-0.071183,0.039675
0.877676,-0.146744,0.063644
0.328355,-0.026792,0.057366
0.657203,-0.136841,0.076398
0.574020,-0.049435,-0.010683
0.441409,0.141992,-0.038520
0.522577,-0.069261,0.034247
0.873176,-0.150233,0.067664
0.338174,-0.043979,0.069572
0.610586,-0.133456,0.087664
0.610373,-0.041003,0.012364
0.452470,0.120908,-0.003424
0.533728,-0.078754,0.020115
0.853655,-0.140928,0.073022
0.375269,-0.069501,0.072366
0.619860,-0.124676,0.070529
0.578009,-0.014312,-0.006271
0.448235,0.118884,0.028882
0.525564,-0.076283,0.048830
0.867518,-0.148397,0.068043
0.370669,-0.050175,0.073349
0.646759,-0.140161,0.087813
0.543052,-0.035084,-0.015543
0.444276,0.144483,0.010225
0.534712,-0.067038,0.054030
0.883319,-0.159651,0.079245
0.369461,-0.043456,0.063757
0.674475,-0.145463,0.086933
0.604416,-0.055096,0.014407
0.443321,0.129681,-0.021770
0.550218,-0.071409,0.037723
0.876480,-0.143514,0.056489
0.328125,-0.042565,0.052041
0.632106,-0.137421,0.078670
0.604996,-0.027674,-0.012947
0.461082,0.137089,0.004638
0.543399,-0.067695,0.052111
0.876409,-0.142389,0.074729
0.343412,-0.024206,0.061384
0.664907,-0.140307,0.083934
0.595068,-0.036173,-0.001443
0.424370,0.134085,-0.001891
0.516480,-0.058012,0.019070
0.858401,-0.129578,0.037845
0.350269,-0.017602,0.056447
0.604138,-0.120735,0.051632
0.560221,-0.040775,-0.014405
0.448194,0.116263,-0.000380
0.573733,-0.092554,0.064669
0.900380,-0.155992,0.084939
0.368183,-0.056737,0.073288
0.622433,-0.124572,0.075416
0.620912,-0.055706,0.002163
0.432517,0.136455,-0.014077
0.517645,-0.056775,0.044275
0.896444,-0.162002,0.073324
0.311098,-0.034809,0.058143
0.641508,-0.141257,0.075733
0.606507,-0.058733,0.016074
0.423865,0.134381,-0.011322
0.547931,-0.074342,0.065599
0.879499,-0.149555,0.062162
0.382831,-0.041249,0.078171
0.631233,-0.136889,0.084846
0.601632,-0.058733,0.002793
0.415890,0.126344,-0.010286
0.564038,-0.090994,0.056502
0.882162,-0.142366,0.069341
0.358867,-0.034227,0.068440
0.607394,-0.133050,0.085591
0.596228,-0.045584,0.002114
0.472582,0.140335,-0.009144
0.501819,-0.047716,0.053355
0.882779,-0.152304,0.068824
0.319522,-0.022249,0.040197
0.629354,-0.135948,0.086493
0.584608,-0.044731,-0.000443
0.436932,0.147805,-0.000481
0.548565,-0.068653,0.041383
0.868297,-0.141275,0.068100
0.347594,-0.044892,0.062915
0.587790,-0.119319,0.059698
0.600079,-0.060363,0.007453
0.442191,0.129539,-0.017435
0.554795,-0.067687,0.058578
0.901936,-0.151574,0.062442
0.379940,-0.043826,0.067233
0.640124,-0.140014,0.089825
0.589937,-0.024843,0.009406
0.448792,0.151158,-0.023511
0.509861,-0.071744,0.057224
0.882269,-0.141500,0.046649
0.335165,-0.038082,0.051071
0.648560,-0.132603,0.081363
0.581943,-0.036673,0.009583
0.415481,0.130303,-0.030544
0.525968,-0.065701,0.039714
0.889284,-0.162895,0.081690
0.354310,-0.037767,0.066440
0.632643,-0.141927,0.090412
0.597921,-0.044069,-0.004037
0.394780,0.139291,-0.026474
0.522406,-0.063362,0.030169
0.900545,-0.154294,0.066998
0.342274,-0.053452,0.059817
0.595166,-0.115138,0.053252
0.606357,-0.054498,0.007911
0.422645,0.139190,-0.002899
0.545783,-0.076401,0.044705
0.850105,-0.144676,0.053379
0.341776,-0.046669,0.069671
0.617791,-0.131578,0.071619
0.617966,-0.058748,0.035812
0.457300,0.142252,0.008933
0.527065,-0.051577,0.029610
0.850219,-0.135358,0.056113
0.348906,-0.031807,0.050488
0.635376,-0.136204,0.069429
0.616582,-0.063226,0.013757
0.462977,0.126327,-0.008190
0.531727,-0.071262,0.038180
0.864095,-0.139389,0.051229
0.354604,-0.063354,0.067858
0.628830,-0.141128,0.089635
0.625785,-0.069625,0.011460
0.408456,0.141838,-0.032111
0.527682,-0.075109,0.045965
0.651527,-0.136898,0.077343
0.588877,-0.038512,-0.020572
0.425270,0.123539,-0.030584
0.537270,-0.093568,0.058903
0.879026,-0.134757,0.057711
0.317054,-0.038274,0.054296
0.618467,-0.120231,0.056266
0.568976,-0.016580,-0.042737
0.459899,0.160427,-0.023921
0.537695,-0.086270,0.056509
0.865719,-0.151294,0.063929
0.299150,-0.011451,0.050273
0.623340,-0.131146,0.083335
0.579617,-0.043590,0.002474
0.462251,0.139595,0.028552
0.523826,-0.053722,0.032732
0.871502,-0.141522,0.067717
0.344654,-0.067106,0.069383
0.617902,-0.132729,0.079983
0.574433,-0.017082,-0.021634
0.467746,0.146309,0.023337
0.521405,-0.056609,0.044792
0.869634,-0.141971,0.047865
0.332375,-0.034033,0.060525
0.609887,-0.136086,0.078942
0.563403,-0.050195,-0.020705
0.428516,0.133896,-0.032467
0.488779,-0.041923,0.026713
0.869731,-0.148729,0.050349
0.355956,-0.061874,0.063244
0.633148,-0.133524,0.082411
0.568463,-0.052439,-0.003479
0.442405,0.125493,0.003970
0.508391,-0.079434,0.051845
0.878956,-0.149630,0.059479
0.349072,-0.050815,0.056282
0.611187,-0.126098,0.071619
0.581820,-0.033526,-0.021879
0.444847,0.135763,0.011481
0.519414,-0.067879,0.061117
0.860275,-0.155345,0.057148
0.359137,-0.043554,0.069660
0.645199,-0.134774,0.088878
0.573381,-0.026735,0.004346
0.425338,0.151048,-0.014584
0.568418,-0.080671,0.039484
0.895898,-0.150155,0.062243
0.292448,-0.024102,0.050754
0.631344,-0.118451,0.055111
0.577166,-0.035311,-0.008588
0.427333,0.152928,-0.016146
0.527465,-0.078996,0.052072
0.834068,-0.122499,0.035279
0.355636,-0.043188,0.059368
0.633873,-0.131756,0.068511
0.556218,-0.041266,0.000310
0.443934,0.143056,0.010775
0.530523,-0.080819,0.050646
0.859998,-0.134965,0.041984
0.351342,-0.046389,0.066262
0.644547,-0.131718,0.079880
0.542788,-0.030730,-0.032546
0.447866,0.121400,0.003460
0.501012,-0.060330,0.045930
0.895170,-0.164336,0.074051
0.376113,-0.060492,0.074463
0.637984,-0.136310,0.083617
0.582023,-0.032734,-0.006568
0.473618,0.134533,0.031235
0.563870,-0.074297,0.044061
0.895892,-0.162942,0.072652
0.366236,-0.041146,0.069832
0.616442,-0.120247,0.060744
0.585268,-0.029692,-0.030311
0.435940,0.132803,0.008223
0.536173,-0.086882,0.062806
0.898205,-0.159614,0.082592
0.320571,-0.033082,0.046551
0.652725,-0.146603,0.097711
0.576412,-0.047898,0.014065
0.422582,0.143092,-0.008833
0.529591,-0.051175,0.044637
0.884751,-0.167053,0.085507
0.357349,-0.050903,0.064765
0.634749,-0.129073,0.064676
0.555898,-0.026381,-0.029041
0.416990,0.118260,0.005696
0.534093,-0.085165,0.049741
0.898476,-0.150949,0.067607
0.334565,-0.018081,0.058975
0.619450,-0.135795,0.082876
0.577899,-0.036295,-0.001676
0.440019,0.156798,0.006002
0.523663,-0.061969,0.043999
0.858338,-0.144054,0.060048
0.317071,-0.046950,0.044395
0.613141,-0.128767,0.069121
0.561353,-0.034307,-0.017832
0.436228,0.144160,0.006465
0.523520,-0.056548,0.044983
0.871122,-0.143216,0.042138
0.344946,-0.045529,0.063707
0.615168,-0.128543,0.091502
0.537422,-0.028707,-0.036891
0.438134,0.134392,0.017451
0.536951,-0.080456,0.049702
0.880140,-0.145416,0.062722
0.387030,-0.061468,0.076874
0.666674,-0.144286,0.085606
0.559992,-0.015056,-0.021471
0.425035,0.139711,0.012994
0.563926,-0.092768,0.067090
0.878349,-0.156307,0.069158
0.359949,-0.047435,0.069759
0.620488,-0.120197,0.067959
0.566120,-0.017448,-0.022496
0.463661,0.122974,0.037759
0.505043,-0.059649,0.035972
0.866417,-0.156035,0.073490
0.347783,-0.034054,0.066573
0.620764,-0.125569,0.063508
0.578709,-0.041605,-0.013009
0.454218,0.133607,0.008572
0.525073,-0.082311,0.043949
0.864326,-0.143040,0.059964
0.311305,-0.031686,0.041868
0.625766,-0.135185,0.069209
0.574222,-0.047475,0.011489
0.461114,0.136142,0.004687
0.528036,-0.068490,0.041888
0.873814,-0.146090,0.062162
0.320218,-0.026665,0.056481
0.664725,-0.139050,0.083123
0.563151,-0.044540,-0.019010
0.447288,0.143853,-0.027456
0.513123,-0.066600,0.036495
0.869313,-0.149571,0.066202
0.330239,-0.043583,0.067946
0.618472,-0.135351,0.093662
0.599556,-0.035865,0.004562
0.458846,0.122163,0.006999
0.523983,-0.076541,0.022307
0.849730,-0.140308,0.071570
0.367627,-0.069321,0.071475
0.627617,-0.126710,0.077451
0.567452,-0.009009,-0.014385
0.455278,0.119798,0.038291
0.516182,-0.073644,0.050936
0.863643,-0.147740,0.066580
0.362842,-0.050122,0.072550
0.654441,-0.142190,0.093989
0.532195,-0.030054,-0.024026
0.451173,0.145307,0.020460
0.525636,-0.064047,0.056148
0.879467,-0.158984,0.077837
0.361605,-0.043379,0.062926
0.681981,-0.147628,0.093251
0.593436,-0.050086,0.006581
0.449451,0.131210,-0.010933
0.540933,-0.068723,0.039946
0.872626,-0.142856,0.054979
0.320051,-0.042507,0.051255
0.639612,-0.139822,0.085184
0.594485,-0.022617,-0.021102
0.467708,0.138095,0.014899
0.534329,-0.064744,0.054256
0.872503,-0.141782,0.073283
0.335365,-0.024047,0.060476
0.672507,-0.142365,0.090374
0.584331,-0.031074,-0.009509
0.431075,0.135136,0.008766
0.507026,-0.055180,0.021427
0.854536,-0.128925,0.036257
0.342239,-0.017453,0.055640
0.611501,-0.123384,0.059171
0.549390,-0.035814,-0.022815
0.454613,0.117503,0.009981
0.564532,-0.090074,0.066548
0.899892,-0.156841,0.084847
0.360380,-0.056691,0.072522
0.630314,-0.126409,0.082154
0.610115,-0.050809,-0.005814
0.438927,0.137748,-0.003227
0.508548,-0.053642,0.046553
0.896038,-0.162724,0.073257
0.302860,-0.034798,0.057443
0.648768,-0.144010,0.082351
0.595497,-0.053753,0.008276
0.430370,0.135617,-0.000461
0.538943,-0.071367,0.067518
0.875653,-0.148885,0.060679
0.375058,-0.041054,0.077079
0.638935,-0.138972,0.091095
0.590711,-0.053841,-0.005251
0.422401,0.127613,0.000581
0.554705,-0.088614,0.058476
0.878274,-0.141748,0.067874
0.350928,-0.034112,0.067559
0.615234,-0.135045,0.091680
0.585384,-0.040554,-0.005924
0.478897,0.141560,0.001343
0.492961,-0.044230,0.055575
0.878927,-0.151642,0.067367
0.311299,-0.022160,0.039408
0.637134,-0.137913,0.092661
0.573734,-0.039700,-0.008562
0.443675,0.148751,0.010106
0.539367,-0.065851,0.043607
0.864397,-0.140650,0.066628
0.339643,-0.044792,0.062010
0.595409,-0.121729,0.066961
0.589097,-0.055451,-0.000525
0.448417,0.130973,-0.006646
0.545869,-0.064646,0.060658
0.901480,-0.152372,0.062355
0.372138,-0.043736,0.066376
0.647856,-0.141994,0.095864
0.579196,-0.019523,0.001544
0.455017,0.152578,-0.012596
0.500600,-0.068853,0.059230
0.878438,-0.140831,0.045105
0.327101,-0.038028,0.050295
0.656337,-0.134463,0.087901
0.571040,-0.031463,0.001651
0.421565,0.132040,-0.019376
0.516677,-0.062863,0.041962
0.885442,-0.162224,0.080294
0.346361,-0.037649,0.065520
0.640301,-0.144072,0.096347
0.587152,-0.039080,-0.012157
0.401121,0.140861,-0.015122
0.513017,-0.060569,0.032473
0.900097,-0.155081,0.066915
0.334356,-0.053352,0.058978
0.602786,-0.117440,0.060800
0.595446,-0.049529,-0.000022
0.429374,0.140214,0.007816
0.536465,-0.073785,0.046856
0.846248,-0.143979,0.051861
0.333803,-0.046553,0.068705
0.625306,-0.134029,0.078410
0.606869,-0.053690,0.028462
0.464072,0.143145,0.019124
0.517932,-0.048456,0.032005
0.846317,-0.134715,0.054591
0.340889,-0.031741,0.049722
0.642666,-0.138911,0.076310
0.605614,-0.058319,0.005937
0.469245,0.127634,0.002278
0.522340,-0.068598,0.040398
0.860231,-0.138727,0.049697
0.346820,-0.063220,0.067018
0.636490,-0.143291,0.095589
0.614844,-0.064804,0.003616
0.414616,0.143551,-0.020815
0.518297,-0.072470,0.048105
0.659932,-0.139586,0.084578
0.577892,-0.033693,-0.029761
0.431471,0.124533,-0.019527
0.528799,-0.091408,0.061313
0.874104,-0.133766,0.055198
0.310449,-0.038185,0.053473
0.626876,-0.123012,0.064345
0.558346,-0.011876,-0.052165
0.466147,0.161217,-0.013143
0.529347,-0.083896,0.059011
0.860837,-0.150211,0.061480
0.292388,-0.011266,0.049430
0.632084,-0.133480,0.090197
0.568292,-0.038567,-0.006438
0.469474,0.139649,0.037977
0.515748,-0.050704,0.035719
0.866561,-0.140523,0.065273
0.338332,-0.067019,0.068780
0.626499,-0.135337,0.086965
0.563561,-0.012084,-0.030837
0.474849,0.146380,0.032966
0.513429,-0.053530,0.047651
0.864777,-0.140897,0.045312
0.325827,-0.033919,0.059668
0.618285,-0.139084,0.085881
0.552235,-0.045435,-0.030041
0.434687,0.134922,-0.021399
0.480697,-0.038650,0.029848
0.864900,-0.147613,0.047822
0.349662,-0.061732,0.062452
0.641790,-0.135959,0.089358
0.557093,-0.047527,-0.012557
0.449257,0.125785,0.014313
0.499950,-0.076975,0.054423
0.874095,-0.148557,0.057002
0.342676,-0.050722,0.055513
0.619792,-0.128719,0.079025
0.570852,-0.028676,-0.031103
0.451847,0.135932,0.021606
0.511442,-0.064862,0.063621
0.855448,-0.154182,0.054672
0.352728,-0.043483,0.068888
0.653959,-0.136943,0.095562
0.562134,-0.021531,-0.004510
0.431862,0.151680,-0.003723
0.560113,-0.078300,0.042225
0.891042,-0.149110,0.059782
0.285658,-0.023996,0.049941
0.639787,-0.121072,0.063271
0.566009,-0.030318,-0.017666
0.433812,0.153601,-0.005275
0.519148,-0.076478,0.054677
0.829140,-0.121468,0.032619
0.349221,-0.043105,0.058580
0.642206,-0.134643,0.076074
0.544805,-0.036206,-0.008734
0.450922,0.143224,0.020930
0.522162,-0.078380,0.053261
0.855123,-0.133907,0.039387
0.344921,-0.046297,0.065438
0.653182,-0.134087,0.087023
0.531799,-0.025964,-0.042068
0.454667,0.121722,0.013777
0.492869,-0.057350,0.048733
0.894754,-0.165038,0.073445
0.369849,-0.060412,0.073709
0.646564,-0.138814,0.090508
0.570887,-0.027706,-0.015587
0.480823,0.134606,0.040517
0.555730,-0.071686,0.046814
0.893643,-0.162910,0.071311
0.359857,-0.041041,0.068995
0.624964,-0.122898,0.068665
0.574444,-0.024921,-0.039597
0.442919,0.133008,0.018490
0.527903,-0.084409,0.065187
0.897700,-0.160454,0.081973
0.313963,-0.032995,0.045750
0.661325,-0.148957,0.103864
0.564918,-0.042821,0.005352
0.429264,0.143575,0.001948
0.521766,-0.047957,0.047543
0.879876,-0.165975,0.083219
0.350979,-0.050801,0.063936
0.643081,-0.131930,0.072413
0.544954,-0.021540,-0.038449
0.423992,0.118523,0.016122
0.525643,-0.082882,0.052340
0.893604,-0.149922,0.065177
0.327997,-0.017914,0.058131
0.628010,-0.138455,0.089690
0.566662,-0.031243,-0.010646
0.446876,0.157067,0.016303
0.515571,-0.059050,0.046827
0.853428,-0.142997,0.057563
0.310542,-0.046835,0.043617
0.621575,-0.131644,0.076611
0.550233,-0.029390,-0.027107
0.443163,0.144381,0.016788
0.515559,-0.053465,0.047842
0.866298,-0.142114,0.039560
0.338500,-0.045422,0.062850
0.624204,-0.130446,0.097853
0.526486,-0.023987,-0.046475
0.445279,0.134499,0.027395
0.528619,-0.078006,0.052339
0.875245,-0.144385,0.060255
0.380808,-0.061382,0.076104
0.675046,-0.146950,0.092491
0.549071,-0.010020,-0.030734
0.432149,0.139848,0.023156
0.555746,-0.090354,0.069413
0.873481,-0.155225,0.066748
0.353560,-0.047364,0.068984
0.629188,-0.122585,0.075615
0.555217,-0.012454,-0.031749
0.471014,0.123081,0.046723
0.496781,-0.056783,0.038889
0.861518,-0.154960,0.071107
0.341296,-0.033967,0.065799
0.629176,-0.128388,0.071282
0.567567,-0.036715,-0.022158
0.461116,0.133825,0.018738
0.516542,-0.080051,0.046623
0.859417,-0.141997,0.057476
0.304650,-0.031594,0.041053
0.633941,-0.138406,0.076665
0.562744,-0.042408,0.002716
0.467912,0.136410,0.014927
0.519795,-0.065789,0.044690
0.868919,-0.145047,0.059693
0.313589,-0.026539,0.055631
0.673213,-0.141534,0.090157
0.551989,-0.039721,-0.028316
0.453521,0.144718,-0.016556
0.504758,-0.063938,0.039351
0.864415,-0.148515,0.063763
0.323766,-0.043285,0.066620
0.627351,-0.137465,0.099852
0.588370,-0.030788,-0.004213
0.465662,0.122449,0.017162
0.515256,-0.074390,0.025141
0.844746,-0.139311,0.069150
0.361413,-0.069168,0.070703
0.636350,-0.129031,0.084665
0.556543,-0.003841,-0.023497
0.462686,0.119914,0.047223
0.507902,-0.070988,0.053582
0.858729,-0.146692,0.064139
0.356465,-0.050086,0.071857
0.663095,-0.144460,0.100404
0.521045,-0.025148,-0.033514
0.458301,0.145388,0.030248
0.517695,-0.061009,0.058792
0.874576,-0.157925,0.075485
0.355214,-0.043289,0.062121
0.690448,-0.150046,0.099845
0.582100,-0.045107,-0.002218
0.455992,0.131736,-0.000295
0.532728,-0.066035,0.042766
0.867745,-0.141805,0.052464
0.313486,-0.042422,0.050462
0.648106,-0.142457,0.091973
0.583647,-0.017685,-0.030225
0.474662,0.138247,0.024817
0.526385,-0.061752,0.056938
0.867543,-0.140802,0.070874
0.328810,-0.023898,0.059615
0.681067,-0.144689,0.097093
0.573251,-0.026065,-0.018555
0.438088,0.135326,0.019043
0.498662,-0.052340,0.024454
0.849653,-0.127881,0.033620
0.335701,-0.017302,0.054835
0.619863,-0.126321,0.067097
0.538265,-0.030958,-0.032215
0.461490,0.117769,0.020072
0.556402,-0.087585,0.068900
0.899350,-0.157736,0.084220
0.354026,-0.056658,0.071857
0.639166,-0.128535,0.089158
0.598991,-0.045960,-0.014746
0.445672,0.138118,0.007332
0.500603,-0.050460,0.049406
0.892780,-0.162286,0.071514
0.296140,-0.034796,0.056822
0.657018,-0.146994,0.089278
0.584133,-0.048796,-0.000491
0.437204,0.135941,0.010081
0.531089,-0.068330,0.069897
0.870781,-0.147819,0.058206
0.368763,-0.040753,0.075789
0.647621,-0.141290,0.097580
0.579470,-0.048985,-0.014262
0.429288,0.127929,0.011136
0.546432,-0.086244,0.060959
0.873340,-0.140755,0.065431
0.344455,-0.034027,0.066791
0.624070,-0.137257,0.097968
0.574202,-0.035591,-0.014940
0.485566,0.141875,0.011576
0.485310,-0.040660,0.058316
0.874042,-0.150588,0.064938
0.304611,-0.022042,0.038571
0.645896,-0.140115,0.099053
0.562528,-0.034740,-0.017667
0.450638,0.148931,0.020281
0.531267,-0.063035,0.046417
0.859450,-0.139646,0.064176
0.333172,-0.044688,0.061156
0.604035,-0.124411,0.074547
0.577786,-0.050565,-0.009472
0.455047,0.131420,0.003917
0.538075,-0.061553,0.063247
0.900993,-0.153194,0.061703
0.365792,-0.043640,0.065559
0.656565,-0.144206,0.102124
0.568072,-0.014291,-0.007312
0.461513,0.153117,-0.001945
0.492484,-0.065904,0.061723
0.873594,-0.139766,0.042538
0.320543,-0.037946,0.049504
0.665075,-0.136605,0.094707
0.559768,-0.026324,-0.007277
0.428040,0.132749,-0.008408
0.508498,-0.060004,0.044802
0.880563,-0.161159,0.077963
0.339881,-0.037560,0.064717
0.648948,-0.146425,0.102493
0.576058,-0.034170,-0.021250
0.407729,0.141516,-0.004080
0.504728,-0.057765,0.035406
0.899617,-0.155890,0.066274
0.327920,-0.053237,0.058169
0.611400,-0.120049,0.068709
0.584194,-0.044601,-0.008923
0.436370,0.140414,0.018132
0.528230,-0.071165,0.049574
0.841365,-0.142873,0.049330
0.327359,-0.046257,0.067385
0.633815,-0.136727,0.085496
0.595369,-0.048638,0.020155
0.471121,0.143246,0.028919
0.509929,-0.045304,0.035040
0.841374,-0.133685,0.052057
0.334369,-0.031650,0.048930
0.650945,-0.141866,0.083521
0.594303,-0.053429,-0.002841
0.475940,0.127972,0.012517
0.514043,-0.065930,0.043210
0.855342,-0.137670,0.047145
0.340487,-0.063104,0.066285
0.645142,-0.145662,0.101754
0.603577,-0.059988,-0.005175
0.421062,0.144321,-0.009776
0.510010,-0.069819,0.050802
0.669223,-0.142510,0.091995
0.566742,-0.029060,-0.039846
0.438060,0.124450,-0.008735
0.521497,-0.089264,0.064163
0.868197,-0.132402,0.051690
0.305438,-0.038083,0.052685
0.636182,-0.126074,0.072666
0.547584,-0.007465,-0.062472
0.472559,0.161172,-0.002740
0.522187,-0.081521,0.061970
0.854977,-0.148729,0.058055
0.287248,-0.011094,0.048615
0.641718,-0.136037,0.097171
0.556751,-0.033678,-0.016282
0.476878,0.138999,0.046825
0.508904,-0.047673,0.039292
0.860625,-0.139148,0.061856
0.333541,-0.066928,0.068223
0.635999,-0.138152,0.094075
0.552499,-0.007326,-0.040954
0.482114,0.145748,0.042043
0.506707,-0.050421,0.051040
0.858954,-0.139429,0.041747
0.320851,-0.033820,0.058904
0.627608,-0.142252,0.092951
0.540935,-0.040832,-0.040278
0.441182,0.134920,-0.010618
0.473892,-0.035352,0.033601
0.859108,-0.146090,0.044292
0.344896,-0.061585,0.061710
0.651320,-0.138619,0.096437
0.545543,-0.042737,-0.022561
0.456421,0.125175,0.024216
0.492722,-0.074505,0.057471
0.868262,-0.147090,0.053540
0.337835,-0.050605,0.054751
0.629300,-0.131575,0.086588
0.559716,-0.024028,-0.041228
0.459075,0.135301,0.031219
0.504731,-0.061785,0.066548
0.849658,-0.152600,0.051207
0.347860,-0.043419,0.068206
0.663592,-0.139347,0.102358
0.550642,-0.016490,-0.014314
0.438529,0.151506,0.006681
0.552962,-0.075960,0.045514
0.885213,-0.147678,0.056343
0.280495,-0.023895,0.049184
0.649112,-0.124001,0.071686
0.554653,-0.025499,-0.027668
0.440426,0.153472,0.005145
0.512036,-0.073950,0.057763
0.823237,-0.120055,0.028909
0.344360,-0.043004,0.057814
0.651439,-0.137768,0.083843
0.533185,-0.031290,-0.018729
0.458086,0.142638,0.030553
0.514995,-0.075941,0.056365
0.849282,-0.132459,0.035762
0.340046,-0.046215,0.064711
0.662694,-0.136709,0.094321
0.520688,-0.021444,-0.052494
0.461815,0.121114,0.023681
0.485989,-0.054334,0.052049
0.893859,-0.165527,0.072114
0.365096,-0.060340,0.073049
0.656034,-0.141536,0.097533
0.559541,-0.022851,-0.025531
0.488251,0.133941,0.049252
0.548771,-0.069082,0.050103
0.887842,-0.161415,0.067994
0.355010,-0.040954,0.068264
0.634380,-0.125828,0.076800
0.563466,-0.020378,-0.049769
0.450140,0.132388,0.028253
0.520835,-0.081916,0.067986
0.897165,-0.161305,0.080823
0.308958,-0.032878,0.044930
0.670812,-0.151495,0.110107
0.553182,-0.037848,-0.004308
0.436135,0.143222,0.012262
0.515200,-0.044710,0.050984
0.874013,-0.164501,0.080016
0.346150,-0.050696,0.063174
0.652309,-0.135040,0.080373
0.533863,-0.016943,-0.048763
0.431316,0.117879,0.026058
0.518371,-0.080616,0.055430
0.887752,-0.148513,0.061781
0.323007,-0.017763,0.057340
0.637478,-0.141305,0.096621
0.555208,-0.026348,-0.020550
0.453804,0.156677,0.026041
0.508716,-0.056108,0.050187
0.847535,-0.141550,0.054088
0.305607,-0.046683,0.042808
0.630921,-0.134742,0.084280
0.538944,-0.024671,-0.037303
0.450263,0.143844,0.026580
0.508850,-0.050352,0.051230
0.860520,-0.140610,0.035962
0.333607,-0.045328,0.062092
0.634119,-0.132572,0.104256
0.515440,-0.019533,-0.056956
0.452631,0.133845,0.036776
0.521478,-0.075558,0.055472
0.869369,-0.142971,0.056807
0.376087,-0.061307,0.075435
0.684302,-0.149830,0.099539
0.537962,-0.005231,-0.040921
0.439419,0.139262,0.032728
0.548746,-0.087929,0.072149
0.867635,-0.153746,0.063377
0.348709,-0.047299,0.068299
0.638771,-0.125257,0.083449
0.544130,-0.007703,-0.041921
0.478627,0.122444,0.055107
0.489758,-0.053902,0.042372
0.855633,-0.153489,0.067773
0.336366,-0.033892,0.065108
0.638490,-0.131460,0.079269
0.556248,-0.031991,-0.032219
0.468279,0.133200,0.028439
0.509188,-0.077814,0.049815
0.853524,-0.140567,0.054000
0.299612,-0.031467,0.040205
0.643034,-0.141831,0.084322
0.551033,-0.037451,-0.007003
0.474978,0.135820,0.024732
0.512767,-0.063081,0.048030
0.863043,-0.143616,0.056242
0.308554,-0.026417,0.054834
0.682574,-0.144259,0.097358
0.540679,-0.035074,-0.038531
0.460025,0.144628,-0.005974
0.497609,-0.061273,0.042769
0.858532,-0.147067,0.060351
0.318836,-0.043091,0.065610
0.637121,-0.139771,0.106095
0.576945,-0.025856,-0.013912
0.472822,0.121821,0.026915
0.507671,-0.072295,0.028580
0.838754,-0.137938,0.065765
0.356704,-0.069031,0.070027
0.645965,-0.131607,0.092023
0.545418,0.001090,-0.033543
0.470359,0.119286,0.055555
0.500847,-0.068309,0.056712
0.852826,-0.145254,0.060727
0.351623,-0.050049,0.071237
0.672628,-0.146939,0.106925
0.509750,-0.020476,-0.043930
0.465574,0.144778,0.039457
0.511010,-0.057923,0.061898
0.868697,-0.156474,0.072194
0.350369,-0.043190,0.061359
0.699784,-0.152684,0.106584
0.570543,-0.040241,-0.011939
0.462856,0.131308,0.009987
0.525725,-0.063348,0.046136
0.861889,-0.140366,0.048951
0.308512,-0.042311,0.049676
0.657497,-0.145293,0.098894
0.572619,-0.012972,-0.040250
0.481855,0.137600,0.034254
0.519683,-0.058723,0.060100
0.861579,-0.139452,0.067506
0.323828,-0.023766,0.058826
0.690494,-0.147247,0.103954
0.561967,-0.021239,-0.028522
0.445316,0.134718,0.028791
0.491516,-0.049500,0.028110
0.843804,-0.126452,0.029942
0.330738,-0.017152,0.054044
0.629135,-0.129511,0.075248
0.526993,-0.026311,-0.042531
0.468726,0.117118,0.029737
0.549457,-0.085080,0.071669
0.897547,-0.158133,0.082591
0.349204,-0.056620,0.071258
0.648889,-0.130920,0.096281
0.587677,-0.041240,-0.024573
0.452661,0.137623,0.017447
0.493932,-0.047237,0.052774
0.886972,-0.160797,0.068197
0.291033,-0.034777,0.056224
0.666171,-0.150168,0.096368
0.572550,-0.043941,-0.010179
0.444276,0.135411,0.020150
0.524485,-0.065230,0.072674
0.864932,-0.146359,0.054751
0.363969,-0.040557,0.074808
0.657194,-0.143812,0.104164
0.568048,-0.044250,-0.024179
0.436454,0.127356,0.021218
0.539336,-0.083877,0.063898
0.867413,-0.139387,0.062017
0.339535,-0.033954,0.066107
0.633803,-0.139657,0.104317
0.562819,-0.030784,-0.024875
0.492501,0.141327,0.021413
0.478986,-0.037018,0.061504
0.868176,-0.149144,0.061541
0.299547,-0.021897,0.037695
0.655541,-0.142523,0.105531
0.551131,-0.029944,-0.027695
0.457735,0.148398,0.029908
0.524383,-0.060207,0.049763
0.853506,-0.138264,0.060748
0.328260,-0.044589,0.060385
0.613573,-0.127330,0.082294
0.566285,-0.045789,-0.019332
